City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
222,Volary,CZ,48.9088,13.8866,50.25,91,80,5.68,broken clouds
223,Mana,GF,5.6592,-53.7767,79.63,84,28,11.7,scattered clouds
224,Salina,US,38.8403,-97.6114,80.02,38,20,10.36,few clouds
225,Mangalam,IN,9.7667,78.6667,80.46,70,100,6.55,overcast clouds
226,Iralaya,HN,15.0,-83.2333,79.84,84,100,8.32,overcast clouds
227,Emilio Carranza,MX,19.9711,-96.6114,77.14,83,70,2.73,broken clouds
228,Japura,ID,-0.3167,102.35,72.09,98,87,1.41,overcast clouds
229,Caravelas,BR,-17.7125,-39.2481,75.65,81,86,9.71,overcast clouds
230,Houma,US,29.5958,-90.7195,82.99,59,75,9.22,broken clouds
231,Bosaso,SO,11.2842,49.1816,84.33,61,46,3.98,scattered clouds
232,Muisne,EC,0.6,-80.0333,74.98,81,72,9.62,broken clouds
233,Marrakesh,MA,31.6315,-8.0083,77.07,44,71,5.75,broken clouds
234,Hualmay,PE,-11.0964,-77.6139,62.17,76,18,12.53,few clouds
235,Bolu,TR,40.6667,31.5833,47.68,92,92,2.8,overcast clouds
236,Hisua,IN,24.8333,85.4167,76.44,92,100,5.3,overcast clouds
237,Cadereyta,MX,25.5833,-99.9833,83.88,55,93,4.76,overcast clouds
238,Sokolo,ML,14.7328,-6.1219,88.3,41,3,5.93,clear sky
239,Saint George,US,37.1041,-113.5841,87.26,20,0,4.0,clear sky
240,Antofagasta,CL,-23.65,-70.4,60.08,68,2,10.58,clear sky
241,Irituia,BR,-1.7711,-47.4381,79.74,72,74,7.05,broken clouds
242,Stornoway,GB,58.2093,-6.3865,49.96,89,40,16.11,scattered clouds
243,Salalah,OM,17.0151,54.0924,78.89,83,20,3.44,few clouds
244,Peniche,PT,39.3558,-9.3811,64.11,93,3,13.6,clear sky
245,San Ignacio,BZ,17.1561,-89.0714,91.54,55,20,0.0,few clouds
246,Bara,NG,10.3744,10.7288,73.94,86,22,1.68,few clouds
247,Oranjestad,AW,12.524,-70.027,84.15,93,40,11.5,scattered clouds
248,Camacha,PT,33.0833,-16.3333,67.42,68,40,12.66,scattered clouds
249,Labytnangi,RU,66.6572,66.4183,37.18,95,100,5.44,light rain
250,Bathsheba,BB,13.2167,-59.5167,79.41,89,75,16.11,broken clouds
251,Tessalit,ML,20.1986,1.0114,91.22,14,74,10.42,broken clouds
252,Torres,BR,-29.3353,-49.7269,62.83,86,93,8.52,overcast clouds
253,Luanda,AO,-8.8368,13.2343,73.4,88,20,6.91,few clouds
254,Rawson,AR,-43.3002,-65.1023,63.97,33,36,17.38,scattered clouds
255,Viedma,AR,-40.8135,-62.9967,64.02,48,30,17.49,scattered clouds
256,Turan,VN,16.0678,108.2208,76.98,94,75,1.14,broken clouds
257,Qasigiannguit,GL,68.8193,-51.1922,25.05,79,61,5.06,broken clouds
258,Constitucion,CL,-35.3333,-72.4167,51.51,85,33,8.75,scattered clouds
259,Najran,SA,17.4924,44.1277,79.45,27,71,1.59,broken clouds
260,Los Llanos De Aridane,ES,28.6585,-17.9182,73.13,82,20,9.22,few clouds
